sequence	Ref. ID temp (Integer starting from 1 and counting upwards)	SAM_Position	Ref. Lead author	Ref. Publication date [year:mm:dd]	Ref_journal	Cell. Stack sequence [Mat.1; Mat.2; ... | Mat.3; ... | Mat.4 | ...]	Cell. Area. Measured [cm^2]	Cell. Number of cells per substrate	Cell. Architecture [nip/pin/ ?€?]	Cell. Flexible [TRUE/FALSE]	Cell. Semitransparent [TRUE/FALSE]	Module [TRUE/FALSE]	Module. Number of cells in module	Substrate. Stack sequence [Mat.1; Mat.2; ... | Mat.3; ... | Mat.4 | ...]	ETL. Stack sequence [Mat.1; Mat.2; ... | Mat.3; ... | Mat.4 | ...]	ETL. Deposition. Procedure [Proc. 1 >> Proc. 2 >> ... | Proc. 3 >> ?€?| Proc. 4 | ... ]	Perovskite. Single crystal [TRUE/FALSE]	Perovskite. Dimension. 0D (Quantum dot) [TRUE/FALSE]	Perovskite. Dimension. 2D [TRUE/FALSE]	Perovskite. Dimension. 2D/3D mixture [TRUE/FALSE]	Perovskite. Dimension. 3D [TRUE/FALSE]	Perovskite. Dimension. 3D with 2D capping layer [TRUE/FALSE]	Perovskite. Dimension. List of layers [Dim.1 | Dim.2 | ?€?]	Perovskite. Composition. Perovskite ABC3 structure [TRUE/FALSE]	Perovskite. Composition. Perovskite inspired structure [TRUE/FALSE]	Perovskite_composition_long_form	Perovskite_composition_inorganic	Perovskite. Composition. Lead free [TRUE/FALSE]	Perovskite. Band gap [Eg.1 | Eg.2 | ...] [eV]	Perovskite. Band gap. Graded [TRUE/FALSE | TRUE/FALSE | ...]	Perovskite. Band gap. Estimation basis [Absorption/Composition/Literature/EQE/?€?]	Perovskite. Deposition. Number of deposition steps	Perovskite. Deposition. Procedure [Proc. 1 >> Proc. 2 >> ... | Proc. 3 >> ?€?| Proc. 4 | ... ]	Perovskite. Deposition. Aggregation state of reactants (Liquid/Gas/Solid) [Agr. 1 >> Agr. 2 >> ... | Agr. 3 >> ?€?| Agr. 4 | ... ]	Perovskite. Deposition. Synthesis atmosphere [Gas1; Gas2 >> Gas3; ... >> ... | Gas4 >> ?€?| Gas5 | ... ]	Perovskite. Deposition. Solvents [Sol.1; Sol.2 >> Sol.3; ... >> ... | Sol.4 >> ?€?| Sol.5 | ... ]	Perovskite. Deposition. Solvents. Mixing ratios [V1; V2 >> V3; V4 >> ... | V5; V6 >> ?€?| 1 | ... ]	Perovskite. Deposition. Quenching induced crystallisation [TRUE/FALSE]	Perovskite. Deposition. Thermal annealing. Temperature [T1; T2 >> T3; ... >> ... | T4 >> ?€?| T5 | ... ] [deg. C]	Perovskite. Deposition. Thermal annealing. Time [t1; t2 >> t3; ... >> ... | t4 >> ?€?| t5 | ... ] [min]	Perovskite. Deposition. Solvent annealing [TRUE/FALSE]	HTL. Stack sequence [Mat.1; Mat.2; ... | Mat.3; ... | Mat.4 | ...]	HTL. Additives. Compounds [Addt.1; Addt.2; ... | Addt.3; ?€?| Addt.4 | ... ]	HTL. Deposition. Procedure [Proc. 1 >> Proc. 2 >> ... | Proc. 3 >> ?€?| Proc. 4 | ... ]	Backcontact. Stack sequence [Mat.1; Mat.2; ... | Mat.3; ... | Mat.4 | ...]	Backcontact. Thickness. List [Th.1 | Th.2 | ?€?| Th.n ] [nm]	Backcontact. Deposition. Procedure [Proc. 1 >> Proc. 2 >> ... | Proc. 3 >> ?€?| Proc. 4 | ... ]	Add. Lay. Frontside [TRUE/FALSE]	Add. Lay. Backcontact side [TRUE/FALSE]	Encapsulation [TRUE/FALSE]	JV. Measured [TRUE/FALSE]	JV. Average over N number of cells	JV. Certified values [TRUE/FALSE]	JV. Light. Intensity [mW/cm^2]	JV. Reverse scan. Voc [V]	JV. Reverse scan. Jsc [mA/cm^2]	JV. Reverse scan. FF [number between 0 and 1]	JV. Reverse scan. PCE [%]	JV. Forward scan. Voc [V]	JV. Forward scan. Jsc [mA/cm^2]	JV. Forward scan. FF [number between 0 and 1]	JV. Forward scan. PCE [%]	JV_default_Voc_scan_direction	JV_default_Jsc_scan_direction	JV_default_FF_scan_direction	JV_default_PCE_scan_direction	buffer
76	22	0	Jinyoung Han et al.	2019/12/21	Journal of Materials Chemistry A	SLG | ITO | ZnO | DMBA | Perovskite | Spiro-MeOTAD | Au	0.06		nip	FALSE	FALSE	FALSE	0	SLG | ITO	ZnO	Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.5	FALSE		1	Spin-coating	Liquid	Unknown	DMSO; GBL	1; 1	TRUE	100	60	FALSE	Spiro-MeOTAD	Li-TFSI; TBP	Spin-coating	Au	100	Evaporation	FALSE	FALSE	FALSE	TRUE	18	FALSE	100	1	20.35	0.5764	11.71	1	20.35	0.5764	11.71					buffer
77	22	0	Jinyoung Han et al.	2019/12/21	Journal of Materials Chemistry A	SLG | ITO | ZnO | TMBA | Perovskite | Spiro-MeOTAD | Au	0.06		nip	FALSE	FALSE	FALSE	0	SLG | ITO	ZnO	Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.5	FALSE		1	Spin-coating	Liquid	Unknown	DMSO; GBL	1; 1	TRUE	100	60	FALSE	Spiro-MeOTAD	Li-TFSI; TBP	Spin-coating	Au	100	Evaporation	FALSE	FALSE	FALSE	TRUE	18	FALSE	100	1	20.35	0.5764	11.71	1	20.35	0.5764	11.71					buffer
81	24	0	Abrusci et al.	2013/6/17	Nano Letters	SLG | FTO | TiO2-c | TiO2-mp | C60-SAM | Perovskite | Spiro-MeOTAD | Ag	0.09		nip	FALSE	FALSE	FALSE	0	SLG | FTO	TiO2-c | TiO2-mp	Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	CH3NH3PbI3-xClx	FALSE	FALSE	1.6	FALSE		1	Spin-coating	Liquid	Air	DMF	1	FALSE	100	45	FALSE	Spiro-MeOTAD	Li-TFSI; TBP	Spin-coating	Ag	150	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	0.84	19.6	0.72	11.7	0.84	19.6	0.72	11.7					buffer
82	27	0	C?? isem K??rb??y??k et al.	2017/6/17	Applied Surface Science	SLG | FTO | c-TiO2 | 1-OMe | Perovskite | P3HT | MoO3 | Ag		0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	c-TiO2 | 1-OMe	Spin-coating | CBD	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE		FALSE		1	Spin-coating	Liquid	N2	GBL	1	TRUE	85	15	FALSE	P3HT | MoO3	Undoped	Spin-coating >> Evaporation	Ag	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	0.948	21.761	0.549	11.34	0.889	22.865	0.462	9.39					buffer
83	27	0	C?? isem K??rb??y??k et al.	2017/6/17	Applied Surface Science	SLG | FTO | c-TiO2 | 2-OMe | Perovskite | P3HT | MoO3 | Ag		0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	c-TiO2 | 2-OMe	Spin-coating | CBD	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE		FALSE		1	Spin-coating	Liquid	N2	GBL	1	TRUE	85	15	FALSE	P3HT | MoO3	Undoped	Spin-coating >> Evaporation	Ag	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	0.957	19.183	0.591	10.85	0.854	19.57	0.506	8.47					buffer
84	27	0	C?? isem K??rb??y??k et al.	2017/6/17	Applied Surface Science	SLG | FTO | c-TiO2 | 3-OMe | Perovskite | P3HT | MoO3 | Ag		0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	c-TiO2 | 3-OMe	Spin-coating | CBD	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE		FALSE		1	Spin-coating	Liquid	N2	GBL	1	TRUE	85	15	FALSE	P3HT | MoO3	Undoped	Spin-coating >> Evaporation	Ag	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	0.939	19.077	0.582	10.43	0.792	19.153	0.463	7.01					buffer
87	29	0	Seid Yimer Abate et al.	2019/12/8	Organic Electronics	SLG | FTO | c-TiO2 | mp-TiO2 | IMPA | Perovskite | Spiro-MeOTAD | Ag		0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	c-TiO2 | mp-TiO2 | IMPA	Spin-coating | Spin-coating | CBD	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE		FALSE		1	Spin-coating	Liquid	N2	DMF;DMSO	630;72	TRUE	70 >> 100	1 >> 5	FALSE	Spiro-OMeTAD	Li-TFSI	Spin-coating	Ag	80	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	0.96	23.59	0.6713	15.21	0.95	23.15	0.6798	14.95					buffer
88	29	0	Seid Yimer Abate et al.	2019/12/8	Organic Electronics	SLG | FTO | c-TiO2 | mp-TiO2 | IBPA | Perovskite | Spiro-MeOTAD | Ag		0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	c-TiO2 | mp-TiO2 | IBPA	Spin-coating | Spin-coating | CBD	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE		FALSE		1	Spin-coating	Liquid	N2	DMF;DMSO	630;72	TRUE	70 >> 100	1 >> 5	FALSE	Spiro-OMeTAD	Li-TFSI	Spin-coating	Ag	80	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	0.94	21.75	0.6762	13.83	0.94	21.5	0.6743	13.63					buffer
90	29	0	Seid Yimer Abate et al.	2019/12/8	Organic Electronics	SLG | FTO | c-TiO2 | mp-TiO2 | BPA | Perovskite | Spiro-MeOTAD | Ag		0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	c-TiO2 | mp-TiO2 | BPA	Spin-coating | Spin-coating | CBD	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE		FALSE		1	Spin-coating	Liquid	N2	DMF;DMSO	630;72	TRUE	70 >> 100	1 >> 5	FALSE	Spiro-OMeTAD	Li-TFSI	Spin-coating	Ag	80	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	0.9	20.55	0.63	11.65	0.9	20.49	0.5219	9.63					buffer
91	29	0	Seid Yimer Abate et al.	2019/12/8	Organic Electronics	SLG | FTO | c-TiO2 | mp-TiO2 | APPA | Perovskite | Spiro-MeOTAD | Ag		0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	c-TiO2 | mp-TiO2 | APPA	Spin-coating | Spin-coating | CBD	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE		FALSE		1	Spin-coating	Liquid	N2	DMF;DMSO	630;72	TRUE	70 >> 100	1 >> 5	FALSE	Spiro-OMeTAD	Li-TFSI	Spin-coating	Ag	80	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	0.94	22.93	0.6427	13.85	0.95	22.36	0.6378	13.55					buffer
92	29	0	Seid Yimer Abate et al.	2019/12/8	Organic Electronics	SLG | FTO | c-TiO2 | mp-TiO2 | TFBPA | Perovskite | Spiro-MeOTAD | Ag		0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	c-TiO2 | mp-TiO2 | TFBPA	Spin-coating | Spin-coating | CBD	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE		FALSE		1	Spin-coating	Liquid	N2	DMF;DMSO	630;72	TRUE	70 >> 100	1 >> 5	FALSE	Spiro-OMeTAD	Li-TFSI	Spin-coating	Ag	80	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	0.98	23.24	0.7067	16.09	0.98	23.47	0.6939	15.96					buffer
93	30	0	Tao Zhu et al.	2019/12/9	ACS Applied Materials	SLG | FTO | c-TiO2 | mp-TiO2 | CBA | Perovskite | Spiro-MeOTAD | Au		0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	c-TiO2 | mp-TiO2 | CBA	Spin-coating | Spin-coating | Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.08FA0.80MA0.12Pb(I0.88Br0.12)3	FALSE	FALSE		FALSE		1	Spin-coating	Liquid	Air	DMF;DMSO	39;11	TRUE	105	60	FALSE	Spiro-OMeTAD	Undoped	Spin-coating	Au	80	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.101	24.25	0.7981	21.35	1.086	24.26	0.7059	18.6					buffer
94	30	0	Tao Zhu et al.	2019/12/9	ACS Applied Materials	SLG | FTO | c-TiO2 | mp-TiO2 | MBA | Perovskite | Spiro-MeOTAD | Au		0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	c-TiO2 | mp-TiO2 | MBA	Spin-coating | Spin-coating | Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.08FA0.80MA0.12Pb(I0.88Br0.12)3	FALSE	FALSE		FALSE		1	Spin-coating	Liquid	Air	DMF;DMSO	39;11	TRUE	105	60	FALSE	Spiro-OMeTAD	Undoped	Spin-coating	Au	80	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.094	23.87	0.7929	20.73	1.068	23.85	0.657	16.73					buffer
95	30	0	Tao Zhu et al.	2019/12/9	ACS Applied Materials	SLG | FTO | c-TiO2 | mp-TiO2 | ??-ALA | Perovskite | Spiro-MeOTAD | Au		0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	c-TiO2 | mp-TiO2 | ??-ALA	Spin-coating | Spin-coating | Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.08FA0.80MA0.12Pb(I0.88Br0.12)3	FALSE	FALSE		FALSE		1	Spin-coating	Liquid	Air	DMF;DMSO	39;11	TRUE	105	60	FALSE	Spiro-OMeTAD	Undoped	Spin-coating	Au	80	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.096	23.1	0.7669	19.43	1.075	23.1	0.6842	16.99					buffer
99	31	0	Tianran Liu et al.	2022/9/22	ACS Energy Letter	SLG | FTO | TiO2 | C2 | Perovskite | Spiro-OMeTAD | Au	0.16	0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	TiO2 | C2	Spin-coating | CBD	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	CsPbI3	TRUE	FALSE		FALSE		1	Spin-coating	Liquid	N2	DMF	1	FALSE	215	4.5	FALSE	Spiro-OMeTAD	Li-TFSI	Spin-coating	Au	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.18	20.8	0.82	20.1	1.18	20.8	0.82	20.1					buffer
100	32	0	Zijing Chen et al.	2022/11/29	Advanced Energy Materials	SLG | FTO | c-TiO2 | TiO2 | PCBA | Perovskite | spiro-OMeTAD | Au	0.08912	0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	c-TiO2 | TiO2 | PCBA	Spin-coating | Spin-coating | Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.028FA0.971Pb(I0.028Br0.971)3	FALSE			FALSE		1	Spin-coating	Liquid	N2			TRUE				Spiro-OMeTAD	Li-TFSI	Spin-coating	Au	80	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.13	25.3	0.818	23.42	1.105	25.2	0.76	21.16					buffer
101	32	0	Zijing Chen et al.	2022/11/29	Advanced Energy Materials	SLG | FTO | c-TiO2 | TiO2 | C-PCBA | Perovskite | spiro-OMeTAD | Au	0.08912	0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	c-TiO2 | TiO2 | C-PCBA	Spin-coating | Spin-coating | Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.028FA0.971Pb(I0.028Br0.971)3	FALSE			FALSE		1	Spin-coating	Liquid	N2			TRUE				Spiro-OMeTAD	Li-TFSI	Spin-coating	Au	80	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.148	26.1	0.828	24.81	1.14	25.8	0.83	24.41					buffer
102	32	0	Zijing Chen et al.	2022/11/29	Advanced Energy Materials	SLG | FTO | c-TiO2 | TiO2 | CPTPB | Perovskite | spiro-OMeTAD | Au	0.08912	0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	c-TiO2 | TiO2 | CBTPB	Spin-coating | Spin-coating | Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.028FA0.971Pb(I0.028Br0.971)3	FALSE			FALSE		1	Spin-coating	Liquid	N2			TRUE				Spiro-OMeTAD	Li-TFSI	Spin-coating	Au	80	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.11	25.2	0.786	21.99	1.083	25.3	0.709	19.44					buffer
104	33	0	Anizelli et al.	2020/4/12	Solar Energy	SLG | ITO | NiO-c | EPA | Perovskite | PCBM-60 | BCP | Ag		0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	PCBM-60 | BCP	Spin-coating | Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.1FA0.2MA0.7Pb(I0.64Br0.36)3	FALSE	FALSE	1.59	FALSE	Literature	1	Spin-coating	Liquid	N2	DMF	1	TRUE	100	60	FALSE	NiO-c | EPA		Spin-coating | Spin-coating	Ag	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.03	19.5	0.65	13	1.01	19.8	0.64	12.9					buffer
105	33	0	Anizelli et al.	2020/4/12	Solar Energy	SLG | ITO | NiO-c | BBA | Perovskite | PCBM-60 | BCP | Ag		0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	PCBM-60 | BCP	Spin-coating | Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.1FA0.2MA0.7Pb(I0.64Br0.36)3	FALSE	FALSE	1.59	FALSE	Literature	1	Spin-coating	Liquid	N2	DMF	1	TRUE	100	60	FALSE	NiO-c | BBA		Spin-coating | Spin-coating	Ag	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.01	17.6	0.66	11.8	0.99	17.7	0.72	12.6					buffer
108	33	0	Anizelli et al.	2020/4/12	Solar Energy	SLG | ITO | SnO2-np | BBA | Perovskite | Spiro-MeOTAD | Au			nip	FALSE	FALSE	FALSE	0	SLG | ITO	SnO2-np | BBA	Spin-coating | Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.1FA0.2MA0.7Pb(I0.64Br0.36)3	FALSE	FALSE	1.59	FALSE	Literature	1	Spin-coating	Liquid	N2	DMF	1	TRUE	100	60	FALSE	Spiro-MeOTAD	Li-TFSI; TBP	Spin-coating	Au	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	0.96	16.4	0.63	9.9	0.91	18.6	0.55	9.3					buffer
109	34	-1	Shi et al.	2021/3/15	Solar RRL	SLG | FTO | SnO2-np | Perovskite | Spiro-MeOTAD | Au			nip	FALSE	FALSE	FALSE	0	SLG | FTO	SnO2-np	Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.1FA0.81MA0.09Pb(I0.9Br0.1)3	FALSE	FALSE		FALSE	Literature	2	Spin-coating	Liquid	N2	DMF; DMSO	19; 1	TRUE	70; 150	1; 15	FALSE	Spiro-MeOTAD	FK209; Li-TFS; TBP	Spin-coating	Au	50	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.054	22.14	0.713	16.62	1.054	22.14	0.713	16.62					buffer
110	34	0	Shi et al.	2021/3/15	Solar RRL	SLG | FTO | SnO2-np | MPTMS | Perovskite | Spiro-MeOTAD | Au			nip	FALSE	FALSE	FALSE	0	SLG | FTO	SnO2-np	Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.1FA0.81MA0.09Pb(I0.9Br0.1)3	FALSE	FALSE		FALSE	Literature	2	Spin-coating	Liquid	N2	DMF; DMSO	19; 1	TRUE	70; 150	1; 15	FALSE	Spiro-MeOTAD	FK209; Li-TFS; TBP	Spin-coating	Au	50	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.087	22.27	0.7328	17.73	1.087	22.27	0.7328	17.73					buffer
111	34	0	Shi et al.	2021/3/15	Solar RRL	SLG | FTO | SnO2-np | MPTMS | Perovskite | Spiro-MeOTAD | Au			nip	FALSE	FALSE	FALSE	0	SLG | FTO	SnO2-np	Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.1FA0.81MA0.09Pb(I0.9Br0.1)3	FALSE	FALSE		FALSE	Literature	2	Spin-coating	Liquid	N2	DMF; DMSO	19; 1	TRUE	70; 150	1; 15	FALSE	Spiro-MeOTAD	FK209; Li-TFS; TBP	Spin-coating	Au	50	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.105	22.77	0.7455	18.75	1.105	22.77	0.7455	18.75					buffer
112	34	0	Shi et al.	2021/3/15	Solar RRL	SLG | FTO | SnO2-np | MPTMS | Perovskite | Spiro-MeOTAD | Au			nip	FALSE	FALSE	FALSE	0	SLG | FTO	SnO2-np	Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.1FA0.81MA0.09Pb(I0.9Br0.1)3	FALSE	FALSE		FALSE	Literature	2	Spin-coating	Liquid	N2	DMF; DMSO	19; 1	TRUE	70; 150	1; 15	FALSE	Spiro-MeOTAD	FK209; Li-TFS; TBP	Spin-coating	Au	50	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.101	22.21	0.7015	17.15	1.101	22.21	0.7015	17.15					buffer
114	34	0	Shi et al.	2021/3/15	Solar RRL	SLG | FTO | SnO2-np | MPTMS | Perovskite | Spiro-MeOTAD | Au			nip	FALSE	FALSE	FALSE	0	SLG | FTO	SnO2-np	Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.1FA0.81MA0.09Pb(I0.9Br0.1)3	FALSE	FALSE		FALSE	Literature	2	Spin-coating	Liquid	N2	DMF; DMSO	19; 1	TRUE	70; 150	1; 15	FALSE	Spiro-MeOTAD	FK209; Li-TFS; TBP	Spin-coating	Au	50	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.112	23.6	0.7632	20.03	1.074	23.72	0.725	18.47					buffer
115	35	-1	Sun et al.	2022/7/28	Electrochimica Acta	SLG | ITO | SnO2 | Perovskite | Spiro-OMeTAD | Ag			nip	FALSE	FALSE	FALSE	0	SLG | ITO	SnO2-np	Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE		FALSE	Literature	1	Spin-coating	Liquid	N2	DMF; DMSO	7; 3	TRUE	100	10	FALSE	Spiro-MeOTAD	Li-TFSI; TBP	Spin-coating	Ag	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.14	22.13	0.7947	20.05	1.12	22.07	0.769	19.01					buffer
116	35	1	Sun et al.	2022/7/28	Electrochimica Acta	SLG | ITO | SnO2 | L-His |Perovskite | Spiro-OMeTAD | Ag			nip	FALSE	FALSE	FALSE	0	SLG | ITO	SnO2-np	Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE		FALSE	Literature	1	Spin-coating	Liquid	N2	DMF; DMSO	7; 3	TRUE	100	10	FALSE	Spiro-MeOTAD	Li-TFSI; TBP	Spin-coating	Ag	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.16	22.74	0.7976	21.04	1.16	22.72	0.7915	20.86					buffer
118	36	0	Zuo et al.	2016/12/12	Nano Letters	SLG | ITO | SnO2-c | CBA-SAM | Perovskite | Spiro-MeOTAD | Au	0.1031	0	nip	FALSE	FALSE	FALSE	0	SLG | ITO	SnO2-c | CBA-SAM	Spin-coating | Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.6	FALSE	Composition	2	Spin-coating >> CBD	Liquid >> Liquid	Unknown	DMF >> IPA	1 >> 1	FALSE	75.0 >> 135.0	15.0 >> 15.0	FALSE	Spiro-MeOTAD	Li-TFSI; TBP	Spin-coating	Au	80	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.08	21.66	0.78	18.27	1.08	21.66	0.78	18.27					buffer
119	36	0	Zuo et al.	2016/12/12	Nano Letters	SLG | ITO | SnO2-c | PA-SAM | Perovskite | Spiro-MeOTAD | Au	0.1031	0	nip	FALSE	FALSE	FALSE	0	SLG | ITO	SnO2-c | PA-SAM	Spin-coating | Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.6	FALSE	Composition	2	Spin-coating >> CBD	Liquid >> Liquid	Unknown	DMF >> IPA	1 >> 1	FALSE	75.0 >> 135.0	15.0 >> 15.0	FALSE	Spiro-MeOTAD	Li-TFSI; TBP	Spin-coating	Au	80	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.1	22.03	0.77	18.77	1.1	22.03	0.77	18.77					buffer
120	36	0	Zuo et al.	2016/12/12	Nano Letters	SLG | ITO | SnO2-c | BA-SAM | Perovskite | Spiro-MeOTAD | Au	0.1031	0	nip	FALSE	FALSE	FALSE	0	SLG | ITO	SnO2-c | BA-SAM	Spin-coating | Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.6	FALSE	Composition	2	Spin-coating >> CBD	Liquid >> Liquid	Unknown	DMF >> IPA	1 >> 1	FALSE	75.0 >> 135.0	15.0 >> 15.0	FALSE	Spiro-MeOTAD	Li-TFSI; TBP	Spin-coating	Au	80	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.11	21.88	0.74	18.11	1.11	21.88	0.74	18.11					buffer
121	36	0	Zuo et al.	2016/12/12	Nano Letters	SLG | ITO | SnO2-c | C3-SAM | Perovskite | Spiro-MeOTAD | Au	0.1031	0	nip	FALSE	FALSE	FALSE	0	SLG | ITO	SnO2-c | C3-SAM	Spin-coating | Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.6	FALSE	Composition	2	Spin-coating >> CBD	Liquid >> Liquid	Unknown	DMF >> IPA	1 >> 1	FALSE	75.0 >> 135.0	15.0 >> 15.0	FALSE	Spiro-MeOTAD	Li-TFSI; TBP	Spin-coating	Au	80	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.08	21.48	0.73	17.11	1.08	21.48	0.73	17.11					buffer
